"Pond","Species","Pop","TPavg","D13Cavg"
"1016","Agile frog","1016.Agile frog",2.5811263192842,-1.03345087678408
"1016","Crayfish","1016.Crayfish",2.65271677444206,-0.514098689349998
"111","Agile frog","111.Agile frog",1.36609160309549,-0.320028630170432
"111","Crayfish","111.Crayfish",2.48896037417318,0.180662197050303
"111","Palmate newt","111.Palmate newt",2.60943666508004,0.801440948017337
"112","Agile frog","112.Agile frog",1.6983902146671,-0.298173256888002
"112","Crayfish","112.Crayfish",2.47609436629629,-0.118744365862014
"112","Palmate newt","112.Palmate newt",2.21699263827418,0.257984343251383
"17_2017","Agile frog","17_2017.Agile frog",1.89836631693621,-0.604651834288112
"17_2017","Marbled newt","17_2017.Marbled newt",2.65593987489678,1.14111919971964
"17_2017","Palmate newt","17_2017.Palmate newt",2.66062673575662,0.951121099030014
"17_2017","Tree frog","17_2017.Tree frog",1.747098718903,-0.605314606659272
"22","Marbled newt","22.Marbled newt",3.26467595643304,0.652514995919262
"22","Palmate newt","22.Palmate newt",2.94309143503198,0.598655407523801
"22","Tree frog","22.Tree frog",1.60780249030774,0.471620856655301
"48","Agile frog","48.Agile frog",2.16155837198506,-2.36818534651298
"48","Marbled newt","48.Marbled newt",2.9038652825876,-1.17814508122272
"48","Palmate newt","48.Palmate newt",2.71353187043894,-0.630792972475322
"48","Tree frog","48.Tree frog",2.01275475928337,-1.73557757442334
"56","Agile frog","56.Agile frog",2.04250270433625,-0.316152920591744
"56","Marbled newt","56.Marbled newt",2.4857632534959,0.671486025421559
"56","Palmate newt","56.Palmate newt",2.45795005089265,0.583194257575475
"56","Tree frog","56.Tree frog",3.03224082373345,0.443808441810081
"66","Agile frog","66.Agile frog",2.01668051439591,-0.0971710654852595
"66","Crayfish","66.Crayfish",2.40724916200874,0.129585870808864
"66","Palmate newt","66.Palmate newt",2.47100333119988,0.426061385465117
"66","Tree frog","66.Tree frog",2.09070512800608,-0.202499074407753
"70","Agile frog","70.Agile frog",2.0758125318684,-0.194151910479139
"70","Marbled newt","70.Marbled newt",2.15991115363693,0.728493758592497
"70","Palmate newt","70.Palmate newt",2.13414699459008,0.585993216511388
"72","Agile frog","72.Agile frog",2.50311329039527,-0.329692320539846
"72","Crayfish","72.Crayfish",2.82648649851042,0.022496743753473
"82_2016","Crayfish","82_2016.Crayfish",2.29137690312982,0.063858887068019
"87","Agile frog","87.Agile frog",2.12810504668485,-0.106955877975706
"87","Marbled newt","87.Marbled newt",2.28259957295255,0.690450837423321
"87","Palmate newt","87.Palmate newt",2.12932509949204,0.550240372015626
"87","Tree frog","87.Tree frog",2.91186687489269,-0.346556083568334
"88","Crayfish","88.Crayfish",2.18805975672007,0.166014785113529
"888","Agile frog","888.Agile frog",2.16206278753433,-0.204875881617124
"888","Crayfish","888.Crayfish",2.33611002067107,0.00233812226886582
"89","Agile frog","89.Agile frog",1.95329465998998,-0.226286345758452
"89","Crayfish","89.Crayfish",2.47173827646747,-0.0258501989184954
"89","Tree frog","89.Tree frog",2.63831262544237,-0.233554973003114
"91","Agile frog","91.Agile frog",1.95832648812924,-0.329834651793282
"91","Crayfish","91.Crayfish",2.33948847917478,0.172369850638881
"91","Palmate newt","91.Palmate newt",2.37560351382142,0.789444414627705
"91","Tree frog","91.Tree frog",1.90420365865577,-0.399841728340321
"94","Agile frog","94.Agile frog",2.27548272538508,0.0679369703724134
"94","Marbled newt","94.Marbled newt",2.36145738740315,1.15346520503724
"94","Palmate newt","94.Palmate newt",2.47839380008848,0.812802597193296
"94","Tree frog","94.Tree frog",2.70508435548827,-0.0543038141893609
"949","Agile frog","949.Agile frog",2.18074636831635,0.0671426078118092
"949","Crayfish","949.Crayfish",2.40877033001034,0.646984084751117
"949","Palmate newt","949.Palmate newt",2.15928303636147,1.07512815715124
"949","Tree frog","949.Tree frog",1.7639563676622,0.11874447325762
"J","Crayfish","J.Crayfish",1.83932533339005,0.135963023006745
"K","Crayfish","K.Crayfish",1.95557858202935,0.0278667014759296
