Sample_ID	Length
66ECR1	94
66ECR2	113
66ECR3	109
66ECR5	111
66ECR7	40
66ECR8	90
66ECR9	108
66ECR11	104
66ECR12	105
66ECR13	90
66ECR14	101
66ECR15	90
66ECR16	88
66ECR17	86
66ECR18	86
66ECR19	79
66ECR20	95
66ECR22	37
66ECR26	111
66ECR29	100
66ECR30	49
66ECR32	108
66ECR34	101
66ECR36	48
66ECR8d	44
70ECR1	109
70ECR2	112
70ECR3	118
70ECR4	40
72ECR1	98
72ECR2	100
72ECR3	92
72ECR4	102
72ECR5	100
72ECR6	106
72ECR7	102
72ECR8	98
72ECR9	101
72ECR10	103
72ECR11	101
72ECR12	104
72ECR14	99
72ECR15	98
72ECR16	40
72ECR17	41
72ECR18	42
72ECR19	41
72ECR20	59
72ECR21	30
72ECR28	80
72ECR34	43
72ECR35	46
72ECR36	98
72ECR37	93
72ECR38	97
72ECR39	85
72ECR40	103
88ECR1	43
88ECR8	41
88ECR10	87
88ECR12	83
88ECR15	43
88ECR21	88
88ECR24	85
88ECR29	82
88ECR50	84
88ECRiso1	88
88ECRiso10	94
88ECRiso11	85
88ECRiso12	90
88ECRiso13	91
88ECRiso14	85
88ECRiso15	87
88ECRiso2	105
88ECRiso24	56
88ECRiso25	44
88ECRiso26	54
88ECRiso27	41
88ECRiso28	40
88ECRiso29	43
88ECRiso3	90
88ECRiso30	48
88ECRiso4	86
88ECRiso5	96
88ECRiso6	89
88ECRiso7	100
88ECRiso8	93
89ECR3	44
89ECR6	46
89ECR7	31
89ECR8	42
89ECR9	48
89ECR10	47
89ECR11	43
89ECR12	42
89ECR15	43
89ECR16	45
89ECR17	47
89ECR22	46
89ECR23	46
89ECR25	42
89ECR31	39
89ECR32	47
89ECR33	41
89ECR34	47
89ECR35	39
89ECR36	48
89ECR37	87
89ECR38	79
89ECR39	87
89ECR40	77
89ECR41	90
89ECR42	88
89ECR43	83
89ECR44	96
89ECR45	91
89ECR46	84
89ECR47	86
89ECR48	82
89ECR49	78
89ECR50	80
89ECR51	86
89ECR52	96
89ECR53	93
89ECR54	86
89ECR55	76
89ECR56	86
91ECR1	98
91ECR2	98
91ECR4	97
91ECR6	93
91ECR8	89
91ECR10	90
91ECR13	38
91ECR14	99
91ECR16	38
91ECR17	89
91ECR18	97
91ECR19	42
91ECR20	38
91ECR21	94
91ECR23	104
91ECR24	42
91ECR25	95
91ECR26	32
91ECR27	36
91ECR29	90
91ECR30	89
91ECR31	96
91ECR33	94
91ECR36	97
91ECR37	101
91ECR38	57
91ECR39	55
91ECR41	60
91ECR42	58
91ECR43	98
91ECR44	58
91ECR47	51
91ECR48	38
91ECR49	45
91ECR50	95
91ECR51	47
91ECR52	49
111ECR1	31
111ECR2	28
111ECR3	34
111ECR4	83
111ECR5	86
111ECR6	109
111ECR7	104
111ECR8	33
111ECR9	30
111ECR10	33
111ECR11	33
111ECR12	37
111ECR13	27
111ECR14	29
111ECR15	96
111ECR16	104
111ECR17	42
111ECR18	46
111ECR19	36
111ECR20	33
111ECR21	88
111ECR22	33
111ECR23	30
111ECR24	41
111ECR25	26
111ECR26	35
111ECR27	25
111ECR28	35
111ECR29	34
111ECRs1	76
111ECRs2	80
111ECRs4	77
111ECRs5	77
111ECRx	81
111ECRy	93
111ECRz	99
112ECR2	95
112ECR3	93
112ECR4	89
112ECR7	100
112ECR8	117
112ECR15	35
112ECR16	45
112ECR17	44
112ECR18	57
112ECR19	44
112ECR20	83
112ECR21	118
112ECR22	78
112ECR23	83
112ECR24	105
112ECR25	94
112ECR26	88
112ECR27	87
112ECR28	102
112ECR29	122
112ECR30	102
112ECR32	96
112ECR40	75
112ECR41	42
112ECR42	41
112ECRA	57
112ECRB	44
112ECRC	42
112ECRD	49
112ECRG	39
888ECR1	98
888ECR2	85
888ECR3	86
888ECR4	96
888ECR6	97
888ECR7	92
888ECR8	96
888ECR9	95
888ECR11	103
888ECR12	92
888ECR13	90
888ECR14	97
888ECR15	78
888ECR16	93
888ECR17	86
888ECR18	94
888ECR19	78
888ECR20	91
888ECR21	53
888ECR23	76
888ECR24	59
888ECRX	97
949ECR1	103
949ECR2	100
949ECR4	118
949ECR5	115
949ECR7	49
949ECR11	71
949ECR12	83
949ECR15	74
949ECR16	53
949ECR17	110
949ECR19	112
949ECR20	59
949ECR21	48
949ECR22	73
949ECR23	118
949ECR24	107
949ECR25	75
949ECR26	74
949ECR27	78
949ECR28	116
949ECR29	74
949ECR32	54
949ECR33	47
949ECR34	82
949ECR35	71
949ECR45	48
949ECR46	51
949ECR47	50
949ECR48	54
949ECR49	79
949ECR4d	47
1016ECR1	90
1016ECR2	87
1016ECR3	81
1016ECR4	101
1016ECR5	83
1016ECR6	85
1016ECR7	84
1016ECR8	86
1016ECR10	90
1016ECR11	93
1016ECR13	92
1016ECR14	91
1016ECR15	82
1016ECR16	83
1016ECR17	37
1016ECR19	105
1016ECR20	97
1016ECR21	88
1016ECR22	82
1016ECR23	87
1016ECR24	87
1016ECR25	27
1016ECR26	34
1016ECR27	29
1016ECR28	51
1016ECR29	46
1016ECR30	39
1016ECR31	41
1016ECRcre1	31
1016ECRcre2	36
1016ECRcre3	41
82ECR1	94
82ECR2	100
82ECR3	100
82ECR4	90
82ECR6	91
82ECR7	85
82ECR8	96
82ECR9	101
82ECR10	96
82ECR11	93
82ECR12	83
82ECR13	95
82ECR15	88
82ECR16	88
82ECR19	85
82ECR20	92
82ECR21	94
82ECR22	94
82ECR25	100
82ECR28	96
82ECRA	39
82ECRB	34
82ECRC	37
82ECRD	32
82ECRE	35
82ECRF	39
JECR1	29
JECR2	26
JECR3	33
JECR4	34
JECR5	31
JECR6	28
JECR7	26
JECR8	29
JECR9	32
JECR10	37
JECR11	30
JECR12	36
JECR13	35
JECR14	42
JECR15	38
JECR16	40
JECR17	39
JECR18	47
JECR19	53
JECR20	44
JECR21	92
JECR22	84
JECR23	81
JECR10bis	76
JECR12bis	79
JECR13bis	75
JECR14bis	91
JECR15bis	84
JECR16bis	76
JECR17bis	83
JECR18bis	81
JECR19bis	86
JECR1bis	88
JECR2bis	89
JECR3bis	87
JECR4bis	80
JECR5bis	95
JECR6bis	86
JECR7bis	79
JECR9bis	87
JECRA	19
JECRB	21
JECRC	20
KECR1	86
KECR2	99
KECR3	46
KECR4	88
KECR5	90
KECR6	87
KECR7	47
KECR8	90
KECR10	50
KECR11	81
KECR13	40
KECR15	39
KECR16	77
KECR17	44
KECR19	47
KECR22	43
KECR24	40
KECR25	54
KECR26	53
KECR28	54
KECR31	53
KECR33	96
KECR34	83
KECR35	82
KECR36	90
KECR37	87
KECR40	86
KECR41	79
KECR42	81
KECR44	92
KECR56	53
KECR57	54
KECR58	54
KECR59	55
KECR60	52
KECR61	96
KECR62	94
KECR+	85
KECRA	20
KECRB	23
KECRC	22
KECRd54	55
KECRd60	52
