"Pond","Taxa","Species","Group","Sample_ID","Weight","D15N","D13C","C.N"
"P02","Tree frog","Tree frog","Amphibians","22RVER11",0.2658,1.2,-24.12,3.63
"P02","Tree frog","Tree frog","Amphibians","22RVER15",0.4167,1.42,-25.12,3.69
"P02","Tree frog","Tree frog","Amphibians","22RVER1",0.3343,1.72,-23.27,3.61
"P02","Tree frog","Tree frog","Amphibians","22RVER19",0.3905,1.67,-24.48,3.94
"P02","Tree frog","Tree frog","Amphibians","22RVER13",0.264,1.15,-25.26,3.62
"P02","Tree frog","Tree frog","Amphibians","22RVER4",0.3265,1.55,-23.31,3.52
"P02","Tree frog","Tree frog","Amphibians","22RVER8",0.2746,1.16,-25.5,3.55
"P02","Tree frog","Tree frog","Amphibians","22RVER7",0.2751,1.64,-23.23,3.73
"P02","Tree frog","Tree frog","Amphibians","22RVER12",0.3071,1.35,-25.08,3.84
"P02","Tree frog","Tree frog","Amphibians","22RVER16",0.2766,1.82,-22.82,3.7
"P02","Tree frog","Tree frog","Amphibians","22RVER9",0.2363,1.77,-25.19,3.7
"P02","Tree frog","Tree frog","Amphibians","22RVER6",0.223,1.8,-23.24,3.7
"P02","Tree frog","Tree frog","Amphibians","22RVER17",0.2647,1.62,-29.5,3.84
"P02","Tree frog","Tree frog","Amphibians","22RVER3",0.2741,1.93,-25.05,3.75
"P02","Tree frog","Tree frog","Amphibians","22RVER18",0.2955,1.77,-24.98,3.64
"P02","Tree frog","Tree frog","Amphibians","22RVER10",0.2027,1.52,-23.49,3.71
"P02","Tree frog","Tree frog","Amphibians","22RVER1D",0.1488,1.89,-22.77,3.74
"P02","Tree frog","Tree frog","Amphibians","22RVER2",0.2182,1.43,-25.95,3.72
"P02","Tree frog","Tree frog","Amphibians","22RVER5",0.3349,1.7,-25.97,3.71
"P02","Tree frog","Tree frog","Amphibians","22RVER20",0.3684,1.49,-24.8,3.74
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR11",0.4045,8.74,-24.45,3.43
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR9",0.4228,7.99,-25.44,3.47
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR5",0.4198,8.13,-24.8,3.41
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR10",0.4172,6.93,-25.54,3.39
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR4",0.4203,9.11,-26.31,3.35
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR12",0.441,8.74,-25.58,3.36
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR3",0.4415,7.8,-24.66,3.4
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR15",0.4505,8.53,-25.91,3.4
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR16",0.4306,8.8,-25.72,3.46
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR1",0.4502,8.69,-27.46,3.49
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR17",0.4193,8.02,-25.54,3.59
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR7",0.4008,8.84,-26.34,3.45
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR2",0.4086,8.02,-27.2,3.48
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR18",0.4175,7.04,-24.7,3.39
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR6",0.3992,9.43,-24.92,3.41
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR13",0.4221,9.15,-25.03,3.49
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR8",0.4037,8.34,-26.38,3.43
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR14",0.4036,8.43,-26.28,3.27
"P02","Marbled newt","Marbled newt","Amphibians","22TMAR19",0.4191,7.79,-26.19,3.29
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL10",0.4109,7.49,-26.25,3.28
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL1",0.3984,7.27,-25.7,3.21
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL11",0.4465,8.2,-26.09,3.33
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL13",0.3333,6.62,-25.68,3.33
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL4",0.4077,7.89,-26.12,3.28
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL9",0.2962,7.05,-25.75,3.34
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL8",0.4158,7.5,-25.04,3.29
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL5",0.4014,6.92,-27.39,3.31
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL2",0.4133,7.29,-26.86,3.26
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL7",0.276,5.3,-25.67,3.3
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL6",0.4531,7.9,-26.96,3.29
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL3",0.2207,6.88,-25.54,3.12
"P02","Palmate newt","Palmate newt","Amphibians","22TPAL12",0.3954,7.95,-25.14,3.36
"P02","Agile frog","Agile frog","Amphibians","22GAGI7",0.432,2.84,-27.71,3.54
"P02","Agile frog","Agile frog","Amphibians","22GAGI1",0.4438,3.1,-31.08,3.49
"P02","Agile frog","Agile frog","Amphibians","22GAGI8",0.4047,4.32,-32.68,3.45
"P02","Agile frog","Agile frog","Amphibians","22GAGI3",0.3034,3.12,-30.19,3.41
